Integer,Float,String,Boolean,Datetime,Category
72,0.2717370154285522,banana,True,2022-02-24,medium
41,0.7747161242562471,banana,False,2021-11-26,high
54,0.4745482336123391,date,False,2023-06-08,high
10,0.9282100094088429,date,False,2024-12-07,medium
75,0.6992068745741614,date,True,2022-01-07,medium
18,0.9147410215548578,cherry,True,2024-03-04,low
96,0.346983477457104,date,False,2023-11-02,medium
80,0.25036354579461306,cherry,False,2023-11-05,medium
57,0.8398734024278917,banana,True,2023-05-16,high
84,0.36543520141473684,cherry,False,2021-01-01,low
24,0.7132993465041995,banana,True,2022-06-24,low
84,0.1519360731431234,cherry,False,2022-10-17,medium
46,0.21529713710265241,cherry,False,2020-07-31,high
66,0.9656858115458042,apple,True,2023-10-16,medium
35,0.38210536939557793,apple,True,2023-11-19,low
74,0.9388835853791953,date,False,2023-05-19,medium
99,0.2619913948182948,apple,True,2021-01-29,high
4,0.9794703526412545,banana,False,2021-05-22,medium
37,0.062418290008903865,cherry,True,2023-08-20,high
57,0.4879642518121067,banana,True,2020-07-19,medium
63,0.0965002639517919,apple,True,2020-07-28,low
46,0.489122855716297,cherry,True,2022-04-12,low
52,0.841138472646212,date,False,2022-05-20,low
9,0.11083738348278194,date,False,2023-01-20,high
90,0.7046268404420347,cherry,True,2022-09-07,medium
21,0.2861627501369749,apple,False,2023-02-04,low
90,0.948097340023328,apple,False,2021-03-24,low
70,0.8692543862756814,cherry,True,2023-02-25,low
12,0.6376143898451873,apple,False,2023-09-02,medium
67,0.6800429867120972,apple,False,2024-07-13,high
18,0.8465534317036771,banana,True,2024-10-22,high
73,0.2336040791764984,apple,True,2024-08-05,low
42,0.8476072906656308,cherry,True,2023-08-10,medium
64,0.7008117148847577,cherry,False,2021-10-30,low
32,0.5950089421214773,banana,True,2022-12-01,low
2,0.14737682174178068,banana,True,2020-11-28,high
46,0.43726013604928315,apple,True,2020-02-28,low
74,0.6873234220778093,cherry,True,2024-11-03,medium
60,0.17816131613300656,apple,True,2022-03-24,high
19,0.8052611822717813,banana,True,2022-11-29,low
7,0.07161750137142953,apple,True,2024-07-18,high
55,0.5074908093846459,banana,True,2024-12-30,medium
90,0.39843234812944117,banana,True,2020-04-24,medium
2,0.8055700812359274,apple,True,2024-08-08,high
29,0.355605896916518,date,False,2021-02-07,high
2,0.39414102404035634,cherry,True,2020-11-25,low
35,0.9869690436305704,date,False,2020-09-14,low
90,0.08751314170849567,banana,False,2020-09-12,low
86,0.959730592888079,banana,True,2022-03-26,high
60,0.8863020928788552,date,True,2024-08-16,low
48,0.16053819062783958,apple,False,2024-07-09,high
5,0.3935746556817217,apple,True,2022-04-25,low
56,0.07529339747250596,apple,False,2021-03-02,low
88,0.03811707154802224,banana,False,2021-08-21,low
98,0.9917261633088628,cherry,True,2022-05-15,high
68,0.5516095765250286,apple,True,2020-08-31,low
1,0.4329908067053092,apple,False,2021-03-15,high
25,0.7841402670746859,date,False,2021-12-10,high
52,0.7228760266488693,banana,False,2024-10-22,high
69,0.6042701075567567,apple,True,2022-07-24,high
34,0.6319961309946692,date,False,2024-11-19,medium
82,0.6156532177994686,date,False,2022-08-22,medium
37,0.7812251609683458,apple,True,2021-01-25,high
12,0.03347890594996239,date,True,2023-01-08,high
14,0.8669013563643341,apple,False,2024-12-21,high
50,0.9946596263150836,date,True,2021-11-17,low
78,0.4755890537386811,banana,False,2021-06-01,medium
44,0.023503031880915848,date,False,2021-07-11,medium
9,0.05540398035635685,cherry,False,2021-06-07,medium
68,0.09568071006725842,date,False,2024-09-27,medium
42,0.47949045775053856,banana,True,2020-06-18,medium
83,0.44319450855485054,date,True,2023-11-03,low
23,0.6388067905790809,banana,True,2020-07-29,high
93,0.13685454436164413,cherry,False,2021-12-11,low
73,0.8204289115018693,date,False,2023-03-05,high
89,0.7197024435353804,date,False,2021-03-18,low
17,0.19215968418685203,banana,False,2024-11-13,low
70,0.12379963861322385,cherry,False,2022-08-22,medium
51,0.7361124481279321,date,True,2020-11-10,medium
12,0.6491748253898144,date,False,2020-06-22,medium
88,0.36485971532000616,date,True,2022-05-10,high
58,0.9728605420542089,date,False,2022-08-24,high
91,0.31929787215665084,banana,True,2022-03-09,low
15,0.6547070063536155,date,True,2023-12-01,medium
2,0.10556557045789561,apple,True,2021-10-29,high
56,0.10423604817670595,cherry,True,2021-07-07,low
33,0.5651758776728768,banana,True,2021-07-11,medium
62,0.14973813329634278,date,True,2021-11-29,medium
48,0.2692891122796902,apple,True,2020-08-16,high
67,0.8496493592369513,cherry,True,2024-01-06,medium
